Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR 
38.81 , 1829 , 26 , 154.00 , 4761.57 , 22.00 , 105.00
38.49 , 1853 , 26 , 153.00 , 4769.49 , 22.00 , 105.00
38.18 , 1802 , 26 , 153.00 , 4752.66 , 22.00 , 105.00
38.18 , 1775 , 26 , 153.00 , 4743.75 , 22.00 , 105.00
38.81 , 1830 , 26 , 153.00 , 4761.90 , 22.00 , 105.00
38.49 , 1787 , 26 , 154.00 , 4747.71 , 22.00 , 105.00
38.81 , 1835 , 26 , 154.00 , 4763.55 , 22.00 , 105.00
38.49 , 1790 , 26 , 153.00 , 4748.70 , 22.00 , 105.00
38.81 , 1836 , 26 , 153.00 , 4763.88 , 22.00 , 105.00
38.18 , 1790 , 26 , 153.00 , 4748.70 , 22.00 , 105.00
38.81 , 1772 , 26 , 153.00 , 4742.76 , 22.00 , 105.00
38.49 , 1824 , 26 , 153.00 , 4759.92 , 22.00 , 105.00
39.12 , 1789 , 26 , 153.00 , 4748.37 , 22.00 , 105.00
38.49 , 1833 , 26 , 152.00 , 4762.89 , 22.00 , 105.00
38.18 , 1793 , 26 , 152.00 , 4749.69 , 22.00 , 105.00
38.49 , 1770 , 26 , 153.00 , 4742.10 , 22.00 , 105.00
38.81 , 1827 , 26 , 153.00 , 4760.91 , 21.00 , 105.00
38.18 , 1785 , 26 , 153.00 , 4747.05 , 21.00 , 105.00
38.81 , 1768 , 26 , 153.00 , 4741.44 , 21.00 , 105.00
38.18 , 1823 , 26 , 153.00 , 4759.59 , 21.00 , 105.00
38.49 , 1787 , 26 , 153.00 , 4747.71 , 21.00 , 105.00
38.49 , 1832 , 26 , 153.00 , 4762.56 , 21.00 , 105.00
38.49 , 1792 , 26 , 153.00 , 4749.36 , 21.00 , 105.00
38.49 , 1768 , 26 , 153.00 , 4741.44 , 21.00 , 105.00
38.18 , 1826 , 26 , 153.00 , 4760.58 , 21.00 , 105.00
38.18 , 1785 , 26 , 153.00 , 4747.05 , 21.00 , 105.00
38.49 , 1768 , 26 , 153.00 , 4741.44 , 21.00 , 105.00
38.18 , 1822 , 26 , 153.00 , 4759.26 , 21.00 , 105.00
38.49 , 1785 , 26 , 153.00 , 4747.05 , 21.00 , 105.00
37.56 , 1765 , 26 , 153.00 , 4740.45 , 21.00 , 105.00
38.49 , 1824 , 26 , 153.00 , 4759.92 , 21.00 , 105.00
37.87 , 1784 , 26 , 153.00 , 4746.72 , 21.00 , 105.00
38.18 , 1768 , 26 , 153.00 , 4741.44 , 21.00 , 105.00
38.49 , 1822 , 26 , 153.00 , 4759.26 , 21.00 , 105.00
38.81 , 1787 , 26 , 153.00 , 4747.71 , 21.00 , 105.00
38.18 , 1766 , 26 , 153.00 , 4740.78 , 21.00 , 105.00
38.49 , 1761 , 26 , 153.00 , 4739.13 , 21.00 , 105.00
38.18 , 1819 , 26 , 152.00 , 4758.27 , 21.00 , 105.00
38.49 , 1786 , 26 , 152.00 , 4747.38 , 21.00 , 105.00
38.49 , 1765 , 26 , 153.00 , 4740.45 , 21.00 , 105.00
38.49 , 1759 , 26 , 153.00 , 4738.47 , 21.00 , 105.00
37.56 , 1754 , 26 , 152.00 , 4736.82 , 21.00 , 105.00
38.49 , 1818 , 26 , 152.00 , 4757.94 , 21.00 , 105.00
37.56 , 1781 , 26 , 152.00 , 4745.73 , 21.00 , 105.00
37.87 , 1768 , 26 , 152.00 , 4741.44 , 21.00 , 105.00
37.25 , 1756 , 26 , 152.00 , 4737.48 , 21.00 , 105.00
37.87 , 1755 , 26 , 152.00 , 4737.15 , 21.00 , 105.00
37.56 , 1751 , 26 , 152.00 , 4735.83 , 21.00 , 105.00
37.87 , 1753 , 26 , 152.00 , 4736.49 , 21.00 , 105.00
36.94 , 1749 , 26 , 152.00 , 4735.17 , 21.00 , 105.00
37.87 , 1752 , 26 , 152.00 , 4736.16 , 21.00 , 105.00
37.56 , 1748 , 26 , 152.00 , 4734.84 , 21.00 , 105.00
38.18 , 1751 , 26 , 152.00 , 4735.83 , 21.00 , 105.00
37.25 , 1749 , 26 , 152.00 , 4735.17 , 21.00 , 105.00
37.87 , 1751 , 26 , 152.00 , 4735.83 , 21.00 , 105.00
37.56 , 1749 , 26 , 152.00 , 4735.17 , 21.00 , 105.00
37.87 , 1752 , 26 , 152.00 , 4736.16 , 21.00 , 105.00
37.56 , 1689 , 26 , 152.00 , 4715.37 , 20.00 , 105.00
37.56 , 1781 , 26 , 152.00 , 4745.73 , 20.00 , 105.00
37.56 , 1702 , 26 , 152.00 , 4719.66 , 21.00 , 105.00
38.18 , 1726 , 26 , 152.00 , 4727.58 , 20.00 , 105.00
37.56 , 1734 , 26 , 152.00 , 4730.22 , 21.00 , 105.00
38.18 , 1743 , 26 , 152.00 , 4733.19 , 20.00 , 105.00
37.56 , 1684 , 26 , 152.00 , 4713.72 , 21.00 , 105.00
38.18 , 1717 , 26 , 152.00 , 4724.61 , 21.00 , 105.00
37.56 , 1733 , 26 , 152.00 , 4729.89 , 21.00 , 105.00
37.87 , 1743 , 26 , 152.00 , 4733.19 , 21.00 , 105.00
37.56 , 1686 , 26 , 152.00 , 4714.38 , 21.00 , 105.00
37.56 , 1720 , 26 , 152.00 , 4725.60 , 21.00 , 105.00
37.56 , 1733 , 26 , 152.00 , 4729.89 , 21.00 , 105.00
38.49 , 1684 , 26 , 152.00 , 4713.72 , 21.00 , 105.00
37.56 , 1715 , 26 , 152.00 , 4723.95 , 21.00 , 105.00
38.18 , 1735 , 26 , 152.00 , 4730.55 , 21.00 , 105.00
37.56 , 1740 , 26 , 152.00 , 4732.20 , 20.00 , 105.00
37.87 , 1685 , 26 , 152.00 , 4714.05 , 21.00 , 105.00
37.25 , 1713 , 26 , 152.00 , 4723.29 , 21.00 , 105.00
38.18 , 1674 , 26 , 152.00 , 4710.42 , 20.00 , 105.00
37.56 , 1708 , 26 , 152.00 , 4721.64 , 21.00 , 105.00
38.49 , 1728 , 26 , 152.00 , 4728.24 , 21.00 , 105.00
37.87 , 1678 , 26 , 152.00 , 4711.74 , 20.00 , 105.00
38.18 , 1713 , 26 , 152.00 , 4723.29 , 21.00 , 105.00
37.87 , 1728 , 26 , 152.00 , 4728.24 , 20.00 , 105.00
38.18 , 1680 , 26 , 152.00 , 4712.40 , 20.00 , 105.00
37.87 , 1712 , 26 , 152.00 , 4722.96 , 21.00 , 105.00
37.87 , 1730 , 26 , 152.00 , 4728.90 , 21.00 , 105.00
37.56 , 1679 , 26 , 151.00 , 4712.07 , 21.00 , 105.00
37.87 , 1716 , 26 , 151.00 , 4724.28 , 21.00 , 105.00
37.87 , 1673 , 26 , 151.00 , 4710.09 , 21.00 , 105.00
38.18 , 1713 , 26 , 151.00 , 4723.29 , 20.00 , 105.00
37.87 , 1728 , 26 , 151.00 , 4728.24 , 20.00 , 105.00
38.49 , 1681 , 26 , 151.00 , 4712.73 , 21.00 , 105.00
37.56 , 1712 , 26 , 151.00 , 4722.96 , 20.00 , 105.00
38.49 , 1673 , 26 , 151.00 , 4710.09 , 21.00 , 105.00
38.18 , 1707 , 26 , 151.00 , 4721.31 , 21.00 , 105.00
38.18 , 1672 , 26 , 151.00 , 4709.76 , 21.00 , 105.00
37.87 , 1709 , 27 , 152.00 , 4721.97 , 20.00 , 105.00
38.49 , 1670 , 26 , 152.00 , 4709.10 , 21.00 , 105.00
38.18 , 1706 , 26 , 151.00 , 4720.98 , 21.00 , 105.00
38.49 , 1729 , 26 , 151.00 , 4728.57 , 21.00 , 105.00
37.87 , 1678 , 26 , 151.00 , 4711.74 , 21.00 , 105.00
38.18 , 1658 , 26 , 151.00 , 4705.14 , 21.00 , 105.00
38.49 , 1701 , 26 , 151.00 , 4719.33 , 21.00 , 105.00
38.18 , 1727 , 27 , 151.00 , 4727.91 , 20.00 , 105.00
38.18 , 1675 , 26 , 151.00 , 4710.75 , 21.00 , 105.00
38.18 , 1655 , 26 , 151.00 , 4704.15 , 20.00 , 105.00
37.87 , 1697 , 26 , 151.00 , 4718.01 , 21.00 , 105.00
38.81 , 1666 , 26 , 151.00 , 4707.78 , 21.00 , 105.00
38.18 , 1706 , 26 , 151.00 , 4720.98 , 20.00 , 105.00
38.49 , 1670 , 26 , 151.00 , 4709.10 , 21.00 , 105.00
38.18 , 1706 , 27 , 151.00 , 4720.98 , 20.00 , 105.00
38.18 , 1670 , 26 , 151.00 , 4709.10 , 21.00 , 105.00
38.49 , 1705 , 26 , 151.00 , 4720.65 , 21.00 , 105.00
38.49 , 1671 , 26 , 151.00 , 4709.43 , 21.00 , 105.00
37.87 , 1708 , 26 , 151.00 , 4721.64 , 20.00 , 105.00
38.49 , 1671 , 26 , 151.00 , 4709.43 , 21.00 , 105.00
38.18 , 1706 , 26 , 151.00 , 4720.98 , 21.00 , 105.00
38.49 , 1670 , 26 , 151.00 , 4709.10 , 21.00 , 105.00
38.18 , 1651 , 26 , 151.00 , 4702.83 , 21.00 , 105.00
38.18 , 1701 , 27 , 151.00 , 4719.33 , 21.00 , 105.00
38.49 , 1666 , 26 , 151.00 , 4707.78 , 20.00 , 105.00
38.18 , 1708 , 26 , 151.00 , 4721.64 , 20.00 , 105.00
37.87 , 1669 , 27 , 151.00 , 4708.77 , 21.00 , 105.00
38.18 , 1651 , 26 , 151.00 , 4702.83 , 20.00 , 105.00
38.49 , 1696 , 26 , 151.00 , 4717.68 , 21.00 , 105.00
38.18 , 1666 , 26 , 151.00 , 4707.78 , 20.00 , 105.00
38.49 , 1704 , 26 , 151.00 , 4720.32 , 21.00 , 105.00
38.49 , 1614 , 26 , 151.00 , 4690.62 , 21.00 , 105.00
38.18 , 1679 , 27 , 151.00 , 4712.07 , 21.00 , 105.00
38.81 , 1658 , 26 , 151.00 , 4705.14 , 20.00 , 105.00
38.18 , 1700 , 26 , 152.00 , 4719.00 , 21.00 , 105.00
39.12 , 1667 , 26 , 152.00 , 4708.11 , 21.00 , 105.00
39.43 , 1596 , 26 , 154.00 , 4684.68 , 21.00 , 105.00
39.43 , 1616 , 26 , 154.00 , 4691.28 , 21.00 , 105.00
39.12 , 1679 , 26 , 155.00 , 4712.07 , 21.00 , 105.00
39.74 , 1604 , 27 , 155.00 , 4687.32 , 21.00 , 105.00
38.81 , 1673 , 27 , 153.00 , 4710.09 , 20.00 , 105.00
39.74 , 1601 , 26 , 153.00 , 4686.33 , 21.00 , 105.00
39.12 , 1670 , 26 , 152.00 , 4709.10 , 20.00 , 105.00
38.81 , 1652 , 26 , 152.00 , 4703.16 , 21.00 , 105.00
38.81 , 1641 , 26 , 151.00 , 4699.53 , 21.00 , 105.00
38.81 , 1640 , 27 , 151.00 , 4699.20 , 20.00 , 105.00
39.12 , 1634 , 26 , 151.00 , 4697.22 , 21.00 , 105.00
39.12 , 1636 , 27 , 151.00 , 4697.88 , 21.00 , 105.00
38.18 , 1690 , 26 , 151.00 , 4715.70 , 21.00 , 105.00
38.81 , 1611 , 27 , 151.00 , 4689.63 , 20.00 , 105.00
38.49 , 1675 , 27 , 151.00 , 4710.75 , 20.00 , 105.00
39.12 , 1657 , 27 , 151.00 , 4704.81 , 20.00 , 105.00
38.81 , 1644 , 27 , 151.00 , 4700.52 , 21.00 , 105.00
38.81 , 1696 , 27 , 151.00 , 4717.68 , 20.00 , 105.00
38.18 , 1662 , 26 , 151.00 , 4706.46 , 20.00 , 105.00
39.12 , 1651 , 26 , 151.00 , 4702.83 , 21.00 , 105.00
38.49 , 1640 , 26 , 151.00 , 4699.20 , 20.00 , 105.00
