Pression, tour moteur, température, AFR, Duréé injection, Papillon, Cible AFR, Cor AFR 
60.00 , 2206 , 42 , 155.00 , 6785.77 , 32.00 , 105.00 , 0.94
61.24 , 2272 , 42 , 155.00 , 6826.09 , 34.00 , 105.00 , 0.94
63.73 , 2195 , 42 , 152.00 , 6779.04 , 35.00 , 105.00 , 0.94
65.60 , 2163 , 42 , 152.00 , 6662.95 , 35.00 , 105.00 , 0.94
65.60 , 2244 , 42 , 152.00 , 6745.44 , 35.00 , 105.00 , 0.94
66.23 , 2291 , 42 , 152.00 , 6793.30 , 36.00 , 105.00 , 0.94
66.54 , 2261 , 42 , 152.00 , 6762.75 , 36.00 , 105.00 , 0.94
67.47 , 2301 , 42 , 152.00 , 6803.48 , 37.00 , 105.00 , 0.94
68.10 , 2374 , 42 , 152.00 , 6877.82 , 38.00 , 105.00 , 0.94
69.97 , 2308 , 42 , 152.00 , 6810.61 , 38.00 , 105.00 , 0.94
69.97 , 2385 , 42 , 153.00 , 6889.02 , 39.00 , 105.00 , 0.94
70.28 , 2427 , 42 , 153.00 , 6931.79 , 39.00 , 105.00 , 0.94
69.97 , 2444 , 42 , 154.00 , 6949.11 , 40.00 , 105.00 , 0.94
70.90 , 2456 , 42 , 154.00 , 6961.33 , 40.00 , 105.00 , 0.94
70.28 , 2458 , 42 , 154.00 , 6963.36 , 41.00 , 105.00 , 0.94
71.84 , 2463 , 42 , 154.00 , 6968.45 , 41.00 , 105.00 , 0.94
71.84 , 2464 , 42 , 154.00 , 6969.47 , 41.00 , 105.00 , 0.94
73.08 , 2472 , 42 , 154.00 , 6977.62 , 41.00 , 105.00 , 0.94
72.15 , 2596 , 42 , 154.00 , 7103.89 , 41.00 , 105.00 , 0.94
73.08 , 2537 , 42 , 154.00 , 7043.81 , 42.00 , 105.00 , 0.94
71.21 , 2630 , 42 , 153.00 , 7138.52 , 42.00 , 105.00 , 0.94
72.46 , 2555 , 42 , 153.00 , 7062.14 , 42.00 , 105.00 , 0.94
71.84 , 2642 , 42 , 153.00 , 7150.74 , 42.00 , 105.00 , 0.94
72.15 , 2699 , 42 , 153.00 , 7208.78 , 42.00 , 105.00 , 0.94
73.40 , 2577 , 42 , 154.00 , 7084.54 , 43.00 , 105.00 , 0.94
74.33 , 2656 , 42 , 154.00 , 7164.99 , 43.00 , 105.00 , 0.94
74.33 , 2696 , 42 , 153.00 , 7205.73 , 43.00 , 105.00 , 0.94
74.33 , 2724 , 42 , 153.00 , 7327.11 , 43.00 , 105.00 , 0.94
74.33 , 2726 , 42 , 153.00 , 7336.89 , 44.00 , 105.00 , 0.94
74.64 , 2733 , 42 , 153.00 , 7371.10 , 44.00 , 105.00 , 0.94
74.64 , 2729 , 42 , 154.00 , 7351.55 , 44.00 , 105.00 , 0.94
74.33 , 2739 , 42 , 154.00 , 7400.43 , 44.00 , 105.00 , 0.94
74.33 , 2734 , 42 , 153.00 , 7375.99 , 44.00 , 105.00 , 0.94
75.26 , 2739 , 42 , 153.00 , 7400.43 , 44.00 , 105.00 , 0.94
75.26 , 2735 , 42 , 153.00 , 7380.88 , 44.00 , 105.00 , 0.94
75.58 , 2740 , 42 , 153.00 , 7405.32 , 44.00 , 105.00 , 0.94
75.26 , 2734 , 42 , 154.00 , 7375.99 , 44.00 , 105.00 , 0.94
76.20 , 2741 , 42 , 154.00 , 7410.21 , 44.00 , 105.00 , 0.94
76.20 , 2735 , 42 , 153.00 , 7380.88 , 44.00 , 105.00 , 0.94
